error:  -16.00
value of H at the initial condition:  -1.3362071584596453
numerical integration starts...
 177634.425 20 -72.0
 177904.498 20 -69.0
 178175.283 20 -66.0
 178445.524 20 -64.0
 178715.857 20 -64.0
 178986.808 20 -67.0
 179255.815 20 -68.0
 179526.834 20 -64.0
 179797.519 20 -66.0
 180066.924 20 -64.0
 180338.233 20 -64.0
 180608.435 20 -65.0
 180879.011 20 -60.0
 181149.791 20 -57.0
 181419.241 20 -58.0
 181690.248 20 -56.0
 181960.755 20 -59.0
 182230.324 20 -62.0
 182501.340 20 -61.0
 182771.172 20 -60.0
 183041.714 20 -57.0
 183312.323 20 -55.0
 183582.216 20 -58.0
 183853.123 20 -57.0
 184123.815 20 -54.0
 184393.359 20 -56.0
 184664.350 20 -57.0
 184934.498 20 -58.0
 185204.280 20 -56.0
 185475.208 20 -53.0
 185745.058 20 -56.0
 186015.933 20 -56.0
 186286.761 20 -56.0
 186556.452 20 -59.0
 186827.382 20 -59.0
 187097.788 20 -60.0
 187367.561 20 -61.0
 187638.656 20 -62.0
 187907.984 20 -60.0
 188178.709 20 -60.0
 188449.419 20 -62.0
 188719.125 20 -59.0
 188990.298 20 -61.0
 189260.828 20 -63.0
 189530.881 20 -63.0
 189801.855 20 -60.0
 190071.514 20 -60.0
 190341.955 20 -63.0
 190612.671 20 -65.0
 190882.182 20 -62.0
 191153.141 20 -66.0
 191423.666 20 -64.0
 191693.809 20 -64.0
 191964.457 20 -68.0
 192234.675 20 -63.0
 192504.891 20 -61.0
 192775.820 20 -63.0
 193045.048 20 -65.0
 193315.805 20 -61.0
 193586.438 20 -60.0
 193856.138 20 -60.0
 194127.086 20 -59.0
 194397.302 20 -61.0
 194667.903 20 -64.0
 194938.891 20 -59.0
 195207.976 20 -60.0
 195478.929 20 -63.0
 195749.656 20 -63.0
 196019.079 20 -65.0
 196290.278 20 -67.0
 196560.260 20 -63.0
 196830.790 20 -64.0
 197101.530 20 -63.0
 197371.370 20 -65.0
 197641.971 20 -64.0
 197912.650 20 -64.0
 198182.186 20 -64.0
 198452.972 20 -58.0
 198723.148 20 -60.0
 198993.249 20 -58.0
 199264.040 20 -59.0
 199533.940 20 -60.0
 199804.676 20 -59.0
 200075.785 20 -58.0
 200345.149 20 -56.0
 200616.070 20 -58.0
 200886.535 20 -55.0
 201156.003 20 -56.0
 201427.356 20 -57.0
 201696.800 20 -61.0
 201967.668 20 -62.0
 202238.464 20 -62.0
 202508.223 20 -60.0
 202779.032 20 -60.0
 203049.444 20 -58.0
 203319.417 20 -56.0
 203590.422 20 -58.0
 203859.682 20 -58.0
 204130.236 20 -56.0
 204401.000 20 -57.0
 204670.812 20 -57.0
 204941.647 20 -57.0
 205212.417 20 -58.0
 205482.453 20 -63.0
 205753.283 20 -68.0
 206023.356 20 -68.0
 206293.280 20 -67.0
 206564.521 20 -67.0
 206833.883 20 -67.0
 207104.552 20 -70.0
 207375.364 20 -75.0
 207645.317 20 -72.0
 207916.127 20 -74.0
 208186.255 20 -71.0
 208456.425 20 -76.0
 208727.723 20 -73.0
 208996.721 20 -70.0
 209267.527 20 -70.0
 209538.256 20 -71.0
 209807.975 20 -74.0
 210079.071 20 -72.0
 210349.120 20 -71.0
 210619.682 20 -77.0
 210890.733 20 -74.0
 211160.469 20 -76.0
 211430.964 20 -77.0
 211701.727 20 -77.0
 211971.237 20 -79.0
 212242.044 20 -79.0
 212512.249 20 -79.0
 212782.474 20 -80.0
 213053.297 20 -80.0
 213323.248 20 -77.0
 213593.653 20 -75.0
 213864.749 20 -72.0
 214134.105 20 -68.0
 214404.808 20 -74.0
 214675.212 20 -72.0
 214944.847 20 -75.0
 215215.926 20 -76.0
 215485.632 20 -74.0
 215756.438 20 -72.0
 216027.684 20 -70.0
 216297.213 20 -74.0
 216568.008 20 -75.0
 216838.440 20 -77.0
 217108.156 20 -76.0
 217379.338 20 -75.0
 217648.679 20 -70.0
 217919.318 20 -71.0
 218190.122 20 -71.0
 218460.096 20 -72.0
 218730.679 20 -67.0
 219001.137 20 -67.0
 219271.118 20 -66.0
 219542.083 20 -68.0
 219811.807 20 -69.0
 220081.864 20 -68.0
 220352.889 20 -69.0
 220622.523 20 -67.0
 220893.176 20 -67.0
 221164.212 20 -68.0
 221434.072 20 -73.0
 221705.062 20 -74.0
 221975.275 20 -74.0
 222244.928 20 -73.0
 222516.342 20 -75.0
 222785.532 20 -76.0
 223056.240 20 -75.0
 223326.961 20 -72.0
 223596.914 20 -74.0
 223867.750 20 -76.0
 224137.790 20 -75.0
 224408.165 20 -81.0
 224679.266 20 -82.0
 224948.569 20 -83.0
 225219.018 20 -85.0
 225489.814 20 -81.0
 225759.601 20 -81.0
 226030.422 20 -81.0
 226300.655 20 -80.0
 226571.004 20 -79.0
 226842.118 20 -80.0
 227112.173 20 -83.0
 227381.996 20 -80.0
 227653.100 20 -75.0
 227922.412 20 -74.0
 228193.213 20 -75.0
 228463.788 20 -73.0
 228733.678 20 -70.0
 229004.721 20 -75.0
 229274.668 20 -75.0
 229544.998 20 -74.0
 229816.278 20 -74.0
 230085.645 20 -73.0
 230356.437 20 -74.0
 230626.912 20 -76.0
 230896.559 20 -77.0
 231167.850 20 -78.0
 231437.370 20 -77.0
 231707.977 20 -78.0
 231979.146 20 -79.0
 232249.074 20 -80.0
 232519.607 20 -83.0
 232790.022 20 -88.0
 233059.789 20 -88.0
 233330.876 20 -89.0
 233600.655 20 -89.0
 233870.766 20 -87.0
 234141.757 20 -86.0
 234411.702 20 -88.0
 234682.141 20 -87.0
 234952.973 20 -92.0
 235222.801 20 -88.0
 235493.969 20 -89.0
 235764.152 20 -86.0
 236033.638 20 -85.0
 236305.020 20 -90.0
 236574.310 20 -89.0
 236845.017 20 -85.0
 237116.051 20 -86.0
 237385.913 20 -84.0
 237656.851 20 -84.0
 237926.999 20 -86.0
 238197.085 20 -89.0
 238468.314 20 -85.0
 238737.745 20 -84.0
 239008.191 20 -84.0
 239278.917 20 -80.0
 239548.907 20 -73.0
 239819.693 20 -74.0
 240089.763 20 -74.0
 240360.128 20 -74.0
 240631.359 20 -72.0
 240901.504 20 -71.0
 241171.337 20 -74.0
 241442.318 20 -75.0
 241711.730 20 -71.0
 241982.591 20 -70.0
 242253.070 20 -69.0
 242522.964 20 -69.0
 242794.104 20 -72.0
 243064.183 20 -75.0
 243334.322 20 -73.0
 243605.367 20 -71.0
 243874.808 20 -71.0
 244145.622 20 -72.0
 244415.975 20 -74.0
 244685.802 20 -75.0
 244956.912 20 -76.0
 245226.633 20 -75.0
 245497.098 20 -72.0
 245768.327 20 -71.0
 246038.195 20 -75.0
 246308.818 20 -76.0
 246579.109 20 -76.0
 246848.644 20 -73.0
 247119.866 20 -72.0
 247389.722 20 -69.0
 247659.884 20 -72.0
 247930.971 20 -76.0
 248201.107 20 -77.0
 248471.438 20 -78.0
 248742.056 20 -80.0
 249011.804 20 -81.0
 249282.863 20 -80.0
 249552.941 20 -77.0
 249822.553 20 -72.0
 250093.753 20 -75.0
 250363.495 20 -77.0
 250633.986 20 -73.0
 250904.948 20 -74.0
 251174.675 20 -79.0
 251445.904 20 -76.0
 251716.020 20 -73.0
 251985.329 20 -78.0
 252256.947 20 -79.0
 252526.242 20 -78.0
 252796.743 20 -76.0
 253067.696 20 -81.0
 253337.798 20 -84.0
 253608.539 20 -82.0
 253878.796 20 -83.0
 254148.820 20 -80.0
 254419.942 20 -78.0
 254689.936 20 -80.0
 254959.913 20 -81.0
 255230.796 20 -80.0
 255500.603 20 -80.0
 255771.314 20 -82.0
 256041.729 20 -78.0
 256311.721 20 -76.0
 256583.070 20 -78.0
 256853.305 20 -79.0
 257122.901 20 -78.0
 257394.095 20 -81.0
 257663.343 20 -74.0
 257934.303 20 -72.0
 258204.836 20 -73.0
 258474.643 20 -72.0
 258745.749 20 -69.0
 259015.823 20 -70.0
 259286.062 20 -67.0
 259557.049 20 -66.0
 259826.751 20 -64.0
 260097.455 20 -62.0
 260367.817 20 -60.0
 260637.581 20 -62.0
 260908.560 20 -66.0
 261178.540 20 -64.0
 261448.778 20 -66.0
 261719.864 20 -66.0
 261990.199 20 -64.0
 262260.513 20 -62.0
 262531.047 20 -65.0
 262800.630 20 -65.0
 263071.696 20 -65.0
 263341.942 20 -65.0
 263611.503 20 -66.0
 263882.650 20 -65.0
 264152.769 20 -67.0
 264423.209 20 -65.0
 264693.953 20 -67.0
 264963.641 20 -69.0
 265234.811 20 -67.0
 265505.102 20 -62.0
 265774.418 20 -62.0
 266045.721 20 -65.0
 266315.263 20 -65.0
 266585.812 20 -71.0
 266856.720 20 -73.0
 267126.724 20 -75.0
 267397.673 20 -78.0
 267667.986 20 -77.0
 267937.536 20 -75.0
 268208.790 20 -74.0
 268478.776 20 -78.0
 268748.812 20 -78.0
 269019.595 20 -77.0
 269289.675 20 -79.0
 269560.354 20 -80.0
 269830.719 20 -76.0
 270100.603 20 -80.0
 270371.692 20 -82.0
 270642.010 20 -83.0
 270911.530 20 -84.0
 271182.650 20 -82.0
 271452.139 20 -83.0
 271722.863 20 -78.0
 271993.500 20 -74.0
 272263.159 20 -71.0
 272534.595 20 -69.0
 272804.903 20 -71.0
 273074.763 20 -72.0
 273345.729 20 -68.0
 273615.214 20 -71.0
 273885.963 20 -72.0
 274156.511 20 -68.0
 274426.341 20 -66.0
 274697.331 20 -64.0
 274967.449 20 -63.0
 275237.567 20 -63.0
 275508.435 20 -59.0
 275778.664 20 -62.0
 276048.922 20 -63.0
 276319.460 20 -66.0
 276588.944 20 -69.0
 276859.809 20 -68.0
 277130.187 20 -67.0
 277399.969 20 -67.0
 277671.230 20 -68.0
 277941.674 20 -69.0
 278211.781 20 -67.0
 278482.651 20 -67.0
 278751.778 20 -63.0
 279022.822 20 -66.0
 279293.360 20 -65.0
 279562.664 20 -65.0
 279833.989 20 -61.0
 280104.094 20 -61.0
 280374.498 20 -63.0
 280645.240 20 -64.0
 280915.054 20 -64.0
 281185.910 20 -63.0
 281456.308 20 -65.0
 281725.762 20 -66.0
 281996.706 20 -65.0
 282266.825 20 -65.0
 282537.109 20 -65.0
 282807.852 20 -67.0
 283078.055 20 -67.0
 283348.695 20 -72.0
 283619.472 20 -70.0
 283888.851 20 -71.0
 284159.862 20 -71.0
 284430.364 20 -73.0
 284699.884 20 -73.0
 284971.040 20 -71.0
 285240.994 20 -69.0
 285511.553 20 -66.0
 285782.257 20 -66.0
 286051.929 20 -66.0
 286323.043 20 -71.0
 286593.443 20 -72.0
 286862.972 20 -70.0
 287134.116 20 -67.0
 287403.596 20 -70.0
 287674.340 20 -73.0
 287945.034 20 -71.0
 288214.797 20 -73.0
 288486.018 20 -73.0
 288756.515 20 -73.0
 289026.400 20 -74.0
 289297.319 20 -70.0
 289567.423 20 -72.0
